,DONid,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,ISO,OutbreakEpicenter,CasesTotal,in_dis,year,id,Notes,Serology Info,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Thailand,THA,,,,1998,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Philippines,PHL,,,,1998,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Indonesia,IDN,,,,1997,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Myanmar,MMR,,,,1998,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Fiji,FJI,,,,1997,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,New Caledonia,NCL,,,,1997,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Brazil,BRA,,,,1997,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Venezuela,VEN,,,,1998,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Colombia,COL,,,,1998,,,No,
22,DON-1998-11-24,"1998 - Hurricane Mitch, Update 5",11/24/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_11_24-en/,Dengue fever,NA,Guatemala,GTM,NA,6,yes,1998,GTM_1998,,No,
23,DON-1998-11-24,"1998 - Hurricane Mitch, Update 5",11/24/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_11_24-en/,Dengue fever,NA,Honduras,HND,NA,1080,yes,1998,HND_1998,,No,
25,DON-1998-11-26,"1998 - Hurricane Mitch, Update 6",11/26/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_11_26-en/,Dengue fever,NA,Guatemala,GTM,NA,277,yes,1998,GTM_1998,,No,
29,DON-1998-12-02,"1998 - Hurricane Mitch, Update 8",12/2/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_12_02-en/,Dengue fever,NA,Nicaragua,NIC,NA,1244,yes,1998,NIC_1998,,No,
33,DON-2002-05-08,2002 - Dengue/dengue haemorrhagic fever in Brazil,5/8/02,https://www.who.int/emergencies/disease-outbreak-news/item/2002_05_08-en/,Dengue fever,NA,Brazil,BRA,Rio de Janeiro State,317787,yes,2001,BRA_2002,,No,
34,DON-2002-06-21,2002 - Dengue/dengue haemorrhagic fever in El Salvador,6/21/02,https://www.who.int/emergencies/disease-outbreak-news/item/2002_06_21e-en/,Dengue fever,NA,El Salvador,SLV,"San Salvador, Libertad, Santa Ana, Cabanas",NA,yes,2002,SLV_2002,,"Yes, no prop",
37,DON-2002-07-19-c,2002 - Dengue/dengue haemorrhagic fever in Honduras,7/19/02,https://www.who.int/emergencies/disease-outbreak-news/item/2002_07_19b-en/,Dengue fever,NA,Honduras,HND,"Francisco, Morazan, La Paz, Cortes, Olancho, Comayagua, Choluteca, El Paraiso, Yoro, Santa Barbara, Copan",2405,yes,2002,HND_2002,,No,
38,DON-2002-08-16-a,2002 - Dengue/dengue haemorrhagic fever in Ecuador,8/16/02,https://www.who.int/emergencies/disease-outbreak-news/item/2002_08_16-en/,Dengue fever,NA,Ecuador,ECU,NA,5991,yes,2002,ECU_2002,Page can't be found,,
