"","X","cases","adjusted_year","YearN","ISO_A0","full_name","continent","population_total","mean_fitted","dis_mean","dis_variance","dis_0.025","dis_0.975","dis_0.05","dis_0.95","dis_time","dis_all","continentID","countryID","region_join","country_join","global_post_mean","global_post_sd","region_post_mean","region_post_sd","country_post_mean","country_post_sd","total_post_mean","total_post_sd","post_variance"
"386",386,135531,2023,34,"COL","Colombia","South America",52321152,259.038026967864,0.556460792739621,1.00726990060209,-2.06082030207423,1.37132949437,-1.78461538896325,1.09141478616811,0.556460792739621,2.18454086482909,5,12,"South America_34","COL_34",0.000870231879026504,0.0154078877382705,0.909072417823007,0.520309306693295,-0.353774559328268,0.869845191198653,0.556168090373766,1.40556238563022,1.97560561989851
"387",387,17350,1990,1,"COL","Colombia","South America",32440069,53.4847662361437,0.187926284463114,1.076300093141,-1.74132227234165,1.76274291726051,-1.4576895195762,1.47867564079791,0.187926284463114,1.81600635655259,5,12,"South America_1","COL_1",0.000641663897469316,0.0152185065,0.172713937192025,0.558632348375056,0.00628607568736275,0.878112720925146,0.179641676776857,1.4519635758002,2.10819822545051
"388",388,15104,1991,2,"COL","Colombia","South America",33098372,45.6343873866321,0.0150085028989396,0.858625240110716,-1.02514905264125,2.03179289320856,-0.77754303936853,1.78383801472451,0.0150085028989396,1.64308857498841,5,12,"South America_2","COL_2",7.62837141671729e-05,0.0157543393751146,-0.484180894030009,0.519299128297721,0.49637813152627,0.767972557083771,0.0122735212104283,1.30302602475661,1.69787682119301
"389",389,101016,2016,27,"COL","Colombia","South America",47437512,212.945849632162,0.165922775534252,0.516647669069214,-0.607294060464009,1.71464396168713,-0.419291671462389,1.52552047150743,0.165922775534252,1.79400284762372,5,12,"South America_27","COL_27",0.000442503599878118,0.0151060676294404,-0.387971283247547,0.433604090766636,0.55547146328385,0.582868579472986,0.167942683636181,1.03157873786906,1.06415469242353
"390",390,55475,2003,14,"COL","Colombia","South America",40937429,135.51246312519,0.469479197183612,0.509734639695701,-0.801841285815688,1.5001058619398,-0.61428464028679,1.31377059689462,0.469479197183612,2.09755926927308,5,12,"South America_14","COL_14",-0.000310837885997255,0.0155374473311443,0.11680057146788,0.428956118452539,0.351901748356277,0.575610681240216,0.46839148193816,1.0201042470239,1.0406126747962
"391",391,19243,1999,10,"COL","Colombia","South America",38454863,50.0431146668429,-0.364728854933035,0.524507359921651,-2.15023972301947,0.179573682862053,-1.96090474737056,-0.00948510599066939,-0.364728854933035,1.26335121715644,5,12,"South America_10","COL_10",-0.000511614126530925,0.0151041730280182,0.619084457720923,0.431005482351437,-0.98281191523103,0.582145995646009,-0.364239071636638,1.02825565102546,1.0573096838658
"392",392,55179,2012,23,"COL","Colombia","South America",45715810,120.701918223743,-0.283135371009012,0.512125470040321,-1.8474237857808,0.461773425992277,-1.65964040846348,0.274492460204185,-0.283135371009012,1.34494470108046,5,12,"South America_23","COL_23",-0.000160364469976264,0.015755251747035,0.409830437130455,0.425120100579356,-0.691947636689884,0.572103863395757,-0.282277564029406,1.01297921572215,1.02612689148506
"393",393,59853,1992,3,"COL","Colombia","South America",33760571,177.286108399645,1.35212072219851,0.715581881387443,-0.0306466846749937,2.7161442929521,0.193090704591181,2.4943094629229,1.35212072219851,2.98020079428799,5,12,"South America_3","COL_3",-0.00049220025874121,0.0153536386397756,0.0074104662518214,0.495528743418692,1.34563745907251,0.682624145438357,1.35255572506559,1.19350652749682,1.42445783117753
"394",394,48874,2001,12,"COL","Colombia","South America",39709262,123.081042710606,0.445877708262704,0.513682352621576,-1.2974145401169,1.01372609553007,-1.11008463841162,0.825680739916956,0.445877708262704,2.07395778035218,5,12,"South America_12","COL_12",0.000379649059304605,0.0155343522927636,0.591746617659432,0.42728347067798,-0.147432998376264,0.576374095679893,0.444693268342472,1.01919191865064,1.03875216704277
"395",395,58011,1998,9,"COL","Colombia","South America",37792165,153.500654354662,0.806251388674633,0.522639260375228,-0.625077524707266,1.70313204643537,-0.437657011967847,1.5124289851302,0.806251388674633,2.4343314607641,5,12,"South America_9","COL_9",0.000918602648800626,0.016130395513665,0.275781374767996,0.43594268088976,0.531161241178425,0.583625114735982,0.807861218595221,1.03569819113941,1.07267074312944
"396",396,126425,2013,24,"COL","Colombia","South America",46151584,273.934657356074,0.471561317682715,0.514362510227011,-0.546391026681336,1.76783980653014,-0.359646986901285,1.57871039801998,0.471561317682715,2.09964138977219,5,12,"South America_24","COL_24",0.000109723488673332,0.0151436451407115,-0.137295174428271,0.426703878082238,0.608829890751685,0.58096457170311,0.471644439812088,1.02281209492606,1.04614458152704
"397",397,78979,2020,31,"COL","Colombia","South America",50629997,155.993162472944,-0.0114817280236722,0.571612166954581,-0.90994292005437,1.54912658306131,-0.708946655943309,1.350963320971,-0.0114817280236722,1.6165983440658,5,12,"South America_31","COL_31",-0.000991699508948108,0.0157658830251227,-0.332480083453621,0.44163630081134,0.321504285645359,0.613437125851219,-0.0119674973172098,1.07083930968768,1.14669682717239
"398",398,96444,2015,26,"COL","Colombia","South America",46969940,205.332440287041,0.1244987852484,0.515844879393892,-1.20619476744166,1.11378451226163,-1.01774289772974,0.925421500752309,0.1244987852484,1.75257885733787,5,12,"South America_26","COL_26",-9.2820054407753e-06,0.0152220536094511,0.168641190325405,0.424180137064342,-0.0426391073322568,0.574481442025404,0.125992800987708,1.0138836326992,1.02796002065532
"399",399,69497,2022,33,"COL","Colombia","South America",51737944,134.326362905284,-0.112117894019869,0.775925205158376,-1.85911369793187,1.09719381772096,-1.62011219543005,0.856867809940268,-0.112117894019869,1.5159621780696,5,12,"South America_33","COL_33",0.000571073875941391,0.0155095497867018,0.271477709215451,0.479540684454012,-0.38480699214561,0.742334528192614,-0.112758209054218,1.23738476243333,1.53112105030218
"400",400,127553,2019,30,"COL","Colombia","South America",49907985,255.57723034815,0.442135047303424,0.53618051278254,-1.07816589554723,1.29214448527695,-0.88665304197865,1.09880160831666,0.442135047303424,2.0702151193929,5,12,"South America_30","COL_30",0.000569657553571704,0.0153371038535964,0.334046301821561,0.431458889853683,0.107031032806382,0.581172723480032,0.441646992181515,1.02796871718731,1.05671968351573
"401",401,107975,2014,25,"COL","Colombia","South America",46565429,231.878939909477,0.262860101407644,0.515405583030656,-1.01019671827931,1.30730714779849,-0.822556963502187,1.11853800238292,0.262860101407644,1.89094017349712,5,12,"South America_25","COL_25",0.000567958358517172,0.0156066816116153,0.119358774177143,0.429660571602171,0.14376096256048,0.582072602023526,0.263687695096139,1.02733985523731,1.05542717815902
"402",402,31398,1996,7,"COL","Colombia","South America",36462745,86.1104987827212,0.369602321173152,0.547883241408802,-0.709195664041834,1.66314068620849,-0.516354389554119,1.47073434744954,0.369602321173152,1.99768239326262,5,12,"South America_7","COL_7",-0.000367806475760624,0.0154299868960051,-0.116493575364807,0.451484230928088,0.490249600392958,0.591604433575517,0.37338821855239,1.05851865139961,1.12046173536085
"403",403,36829,2006,17,"COL","Colombia","South America",42691084,86.2700122946902,-0.139580326270941,0.507859334525669,-1.34639199691359,0.949319644568128,-1.15986197643356,0.762953306645475,-0.139580326270941,1.48849974581853,5,12,"South America_17","COL_17",0.000159348654032088,0.0152672962532426,0.0619682355124716,0.427971717006857,-0.205166540270107,0.567521224309264,-0.143038956103603,1.01076023756936,1.02163625785128
"404",404,71727,2002,13,"COL","Colombia","South America",40324680,177.874364858451,0.775445890517898,0.510723539814524,-0.705656628326012,1.5999394672788,-0.519390406157616,1.41173562722576,0.775445890517898,2.40352596260737,5,12,"South America_13","COL_13",0.000808354218252497,0.015481660797604,0.331048029109571,0.42230921316293,0.443677382163449,0.579097633468992,0.775533765491273,1.01688850742953,1.03406223654225
"405",405,25775,2017,28,"COL","Colombia","South America",48131078,53.5527564445273,-1.18976587347581,0.523800184956601,-1.20332338486866,1.12901987513694,-1.01316411859987,0.940418961444365,-1.18976587347581,0.438314198613659,5,12,"South America_28","COL_28",-0.000492307450451377,0.014982491252999,-1.15154294792158,0.432865291779734,-0.0365767078728066,0.583222712504069,-1.18861196324484,1.0310704955368,1.06310636676651
"406",406,46037,2018,29,"COL","Colombia","South America",49024465,93.9072678354467,-0.595425845670496,0.522328639252802,-1.23526275542078,1.0979118740874,-1.04513958422874,0.909122619741874,-0.595425845670496,1.03265422641898,5,12,"South America_29","COL_29",-0.000696356353461392,0.0156161594057476,-0.534601124449701,0.432053523659882,-0.0597153117395115,0.584781362087235,-0.595012792542674,1.03245104515287,1.06595516063724
"407",407,8449,1993,4,"COL","Colombia","South America",34441473,24.5342408757587,-0.65976282864493,0.633416274329516,-2.1530173298892,0.404695309829799,-1.94437288997026,0.198245194096921,-0.65976282864493,0.968317243444542,5,12,"South America_4","COL_4",-0.00031759912988853,0.0159342624010053,0.217591112196124,0.475715086205975,-0.874095444891681,0.637500600020283,-0.656821931825445,1.12914994862726,1.27497960648495
