"","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"45","ARG",1999,1700,"Argentina","South America",-33.501159,"south","ARG 1999",7,10,10,10,10,36794682,26642.2,59.2178101978897,"South America_10","ARG_10",367.94682,"ARG",2,5
"46","ARG",2000,11,"Argentina","South America",-33.501159,"south","ARG 2000",7,11,11,11,11,37213984,26642.2,59.2178101978897,"South America_11","ARG_11",372.13984,"ARG",2,5
"47","ARG",2001,214,"Argentina","South America",-33.501159,"south","ARG 2001",7,12,12,12,12,37624825,26642.2,59.2178101978897,"South America_12","ARG_12",376.24825,"ARG",2,5
"48","ARG",2002,135,"Argentina","South America",-33.501159,"south","ARG 2002",7,13,13,13,13,38029349,26642.2,59.2178101978897,"South America_13","ARG_13",380.29349,"ARG",2,5
"49","ARG",2003,3284,"Argentina","South America",-33.501159,"south","ARG 2003",7,14,14,14,14,38424282,26642.2,59.2178101978897,"South America_14","ARG_14",384.24282,"ARG",2,5
"50","ARG",2004,34,"Argentina","South America",-33.501159,"south","ARG 2004",7,15,15,15,15,38815916,26642.2,59.2178101978897,"South America_15","ARG_15",388.15916,"ARG",2,5
"51","ARG",2005,181,"Argentina","South America",-33.501159,"south","ARG 2005",7,16,16,16,16,39216789,26642.2,59.2178101978897,"South America_16","ARG_16",392.16789,"ARG",2,5
"52","ARG",2006,173,"Argentina","South America",-33.501159,"south","ARG 2006",7,17,17,17,17,39622115,26642.2,59.2178101978897,"South America_17","ARG_17",396.22115,"ARG",2,5
"53","ARG",2007,40,"Argentina","South America",-33.501159,"south","ARG 2007",7,18,18,18,18,40016763,26642.2,59.2178101978897,"South America_18","ARG_18",400.16763,"ARG",2,5
"54","ARG",2008,26606,"Argentina","South America",-33.501159,"south","ARG 2008",7,19,19,19,19,40424148,26642.2,59.2178101978897,"South America_19","ARG_19",404.24148,"ARG",2,5
"55","ARG",2009,1185,"Argentina","South America",-33.501159,"south","ARG 2009",7,20,20,20,20,40854831,26642.2,59.2178101978897,"South America_20","ARG_20",408.54831,"ARG",2,5
"56","ARG",2010,213,"Argentina","South America",-33.501159,"south","ARG 2010",7,21,21,21,21,41288694,26642.2,59.2178101978897,"South America_21","ARG_21",412.88694,"ARG",2,5
"57","ARG",2011,2803,"Argentina","South America",-33.501159,"south","ARG 2011",7,22,22,22,22,41730660,26642.2,59.2178101978897,"South America_22","ARG_22",417.3066,"ARG",2,5
"58","ARG",2012,9294,"Argentina","South America",-33.501159,"south","ARG 2012",7,23,23,23,23,42161721,26642.2,59.2178101978897,"South America_23","ARG_23",421.61721,"ARG",2,5
