"","cases","adjusted_year","YearN","ISO_A0","full_name","continent","population_total","mean_fitted","dis_mean","dis_variance","dis_0.025","dis_0.975","dis_0.05","dis_0.95","dis_time","dis_all","continentID","countryID"
"593",65,1990,1,"FJI","Fiji","Oceania",773316,8.46640308785534,0.493878165283913,1.09151539131062,-1.71723751185745,1.82524572403349,-1.43025331859926,1.53837706826735,0.493878165283913,0.314749056116399,4,18
"594",9912,2022,33,"FJI","Fiji","Oceania",919422,1078.15287662204,0.859966415975183,0.829782243342744,-2.0418914936974,0.985595421172507,-1.7969620915552,0.739746621498039,0.859966415975183,0.680837306807669,4,18
"595",3,2000,11,"FJI","Fiji","Oceania",840909,0.529576063179924,-1.40658837848626,0.735372263153424,-3.32515631579735,-0.434819529086377,-3.09112724762254,-0.669397575527937,-1.40658837848626,-1.58571748765377,4,18
"596",0,1996,7,"FJI","Fiji","Oceania",803789,0.180557407715428,-3.03995918043113,1.06636542862926,-3.79593996970459,-0.168691808026469,-3.50154182044975,-0.461761633160909,-3.03995918043113,-3.21908828959864,4,18
"597",374,2008,19,"FJI","Fiji","Oceania",903399,41.4498022932432,1.30534958079021,0.597817973882311,-1.14692006896386,1.30999535680338,-0.946238245917327,1.11183622930755,1.30534958079021,1.12622047162269,4,18
"598",88,2010,21,"FJI","Fiji","Oceania",910419,9.70586092509893,-0.990762775128323,0.623253727128568,-0.990160510560574,1.51461498393324,-0.788544408888298,1.30968816000492,-0.990762775128323,-1.16989188429584,4,18
"599",2,1995,6,"FJI","Fiji","Oceania",798746,0.430555253937781,-2.01206881790199,0.774858152529967,-3.78956203262642,-0.800407696092355,-3.54976121152681,-1.04503799470534,-2.01206881790199,-2.19119792706951,4,18
"600",8,2009,20,"FJI","Fiji","Oceania",907239,1.07197746193322,-2.81710603373197,0.658732345199242,-3.70049243289466,-1.05289462179887,-3.48541100903274,-1.26734930793209,-2.81710603373197,-2.99623514289948,4,18
"601",800,2015,26,"FJI","Fiji","Oceania",918578,87.1795559779579,-0.399925753011175,0.793492996001216,-1.97463504955627,0.769366563626176,-1.75152471621451,0.546976620314342,-0.399925753011175,-0.579054862178689,4,18
"602",25,2005,16,"FJI","Fiji","Oceania",882379,2.87862666487019,-0.21584369124641,0.613098365286295,-1.0780694672354,1.45030587006662,-0.873633129408171,1.24437661714749,-0.21584369124641,-0.394972800413924,4,18
"603",1244,2014,25,"FJI","Fiji","Oceania",917585,135.636494332718,0.271971831559579,0.674695731246316,-1.44069744709322,1.1299315227526,-1.23167143486459,0.921648275781147,0.271971831559579,0.0928427223920643,4,18
"604",3152,2018,29,"FJI","Fiji","Oceania",917180,343.731184890934,0.450153755410509,0.574072145183489,-1.46881388513783,0.951168826416888,-1.27093306140717,0.756143804199228,0.450153755410509,0.271024646242994,4,18
"605",27,1994,5,"FJI","Fiji","Oceania",794771,3.46734427871182,0.136236994147755,0.642469843330309,-1.41675907980777,1.18202382664685,-1.20479966071572,0.972307203510533,0.136236994147755,-0.0428921150197596,4,18
"606",2013,2016,27,"FJI","Fiji","Oceania",919166,219.06895933417,0.327159338287041,0.601253249916719,-1.43698938760972,1.02276294945983,-1.23697381828285,0.823405694296807,0.327159338287041,0.148030229119526,4,18
"607",0,2001,12,"FJI","Fiji","Oceania",849596,0.187409996934923,-2.60230030843962,1.00047818822475,-4.00581713336486,-0.479802266751672,-3.71979876065616,-0.764896620803742,-2.60230030843962,-2.78142941760713,4,18
"608",1895,2007,18,"FJI","Fiji","Oceania",897832,210.988938969954,3.34316292834982,0.56888149382034,1.0528673113808,3.46526663601816,1.24958603958328,3.27031383555314,3.34316292834982,3.16403381918231,4,18
"609",5924,2021,32,"FJI","Fiji","Oceania",916711,646.186234169586,0.561877357465191,0.733614647981201,0.229068699205919,2.99968612502669,0.455553951663026,2.7768512074654,0.561877357465191,0.382748248297676,4,18
"610",0,1993,4,"FJI","Fiji","Oceania",790369,0.209039126959283,-3.05493830037668,1.05948952773288,-4.12730849361911,-0.551767169569053,-3.83633815904798,-0.839947438347314,-3.05493830037668,-3.23406740954419,4,18
"611",1777,2011,22,"FJI","Fiji","Oceania",912989,194.556158779793,1.60603728660249,0.616921950407743,1.11406678723291,3.59962926103286,1.31488317245456,3.39693681883895,1.60603728660249,1.42690817743498,4,18
"612",14,1999,10,"FJI","Fiji","Oceania",831828,1.70637696703159,-0.251199028865175,0.65590880471763,-0.741472365503005,1.89420806712658,-0.529083211359097,1.67897725086033,-0.251199028865175,-0.430328138032689,4,18
"613",7,2004,15,"GRD","Grenada","Caribbean",109323,6.96290586204574,-0.648355923392071,0.571430495285608,-1.52656951408127,1.04384680253347,-1.31683711861524,0.83655272740575,-0.648355923392071,-0.469592788632989,2,19
"614",0,2005,16,"GRD","Grenada","Caribbean",109734,1.21636746201641,-2.74997664964369,1.00407945773126,-3.5982576816206,0.037340938090801,-3.30244393872226,-0.255615831778509,-2.74997664964369,-2.57121351488461,2,19
"615",23,2009,20,"GRD","Grenada","Caribbean",111254,20.9542021413609,-0.211569115718161,0.492156171455991,-0.819182965040439,1.52537642424245,-0.628986765156512,1.33486267140555,-0.211569115718161,-0.0328059809590782,2,19
"616",228,2013,24,"GRD","Grenada","Caribbean",113487,201.047004482952,1.10866281772999,0.45457091386468,-0.46075509818534,1.76114470403885,-0.281333910294804,1.57958033053386,1.10866281772999,1.28742595248907,2,19
"617",253,2020,31,"GRD","Grenada","Caribbean",116341,218.081602129837,-0.0678978763313304,0.510153711732467,-1.60558267695965,0.760798985240316,-1.41192378803617,0.570252633795188,-0.0678978763313304,0.110865258427752,2,19
"618",642,2023,34,"GRD","Grenada","Caribbean",117081,548.92062124273,0.270760115615579,0.954810329993335,-2.03991801093103,1.34231320096446,-1.76674311761906,1.06739099858958,0.270760115615579,0.449523250374662,2,19
"619",94,2012,23,"GRD","Grenada","Caribbean",112775,83.3368757004636,0.451075073834498,0.462798649901561,-0.130803966499989,2.11651381055578,0.0513352244817695,1.93358609994508,0.451075073834498,0.629838208593581,2,19
"620",125,2011,22,"GRD","Grenada","Caribbean",112079,111.991414279031,0.989542750856224,0.455631271636544,-1.15436365132621,1.07809041466855,-0.973090779022412,0.896691351958271,0.989542750856224,1.16830588561531,2,19
