"","adm0_a3","adjusted_year","annual_precip_mean","anom_ref","precip_anomaly"
"1429","PLW",2009,0.00935563053159664,0.00849917805850661,0.00085645247309003
"1430","PLW",2010,0.00761114264605567,0.00849917805850661,-0.000888035412450942
"1431","PLW",2011,0.0110876157802219,0.00849917805850661,0.00258843772171531
"1432","PLW",2012,0.00977415315962086,0.00849917805850661,0.00127497510111425
"1433","PLW",2013,0.00899810278012107,0.00849917805850661,0.000498924721614457
"1434","PLW",2014,0.00973242563971629,0.00849917805850661,0.00123324758120968
"1435","PLW",2015,0.00598238001111895,0.00849917805850661,-0.00251679804738766
"1436","PLW",2016,0.00821801352625092,0.00849917805850661,-0.000281164532255691
"1437","PLW",2017,0.0101057207987954,0.00849917805850661,0.00160654274028881
"1438","PLW",2018,0.00872020984146123,0.00849917805850661,0.000221031782954621
"1439","PLW",2019,0.00806947630674889,0.00849917805850661,-0.000429701751757723
"1440","PLW",2020,0.00936890886320422,0.00849917805850661,0.00086973080469761
"1441","PLW",2021,0.01046790186471,0.00849917805850661,0.00196872380620334
"1442","PLW",2022,0.0115361199326192,0.00849917805850661,0.00303694187411262
"1443","PLW",2023,0.0108217098750174,0.00849917805850661,0.00232253181651079
"1444","PLW",2024,0.0110685053126266,0.00849917805850661,0.00256932725411995
"1445","PRI",1990,0.00282950321949708,0.00307275745225424,-0.000243254232757156
"1446","PRI",1991,0.00240126494221234,0.00307275745225424,-0.000671492510041895
"1447","PRI",1992,0.00324951736062455,0.00307275745225424,0.000176759908370311
"1448","PRI",1993,0.00305023524560966,0.00307275745225424,-2.25222066445796e-05
"1449","PRI",1994,0.0022535320216169,0.00307275745225424,-0.000819225430637339
"1450","PRI",1995,0.00243669949122705,0.00307275745225424,-0.00063605796102719
"1451","PRI",1996,0.00346054282272235,0.00307275745225424,0.00038778537046811
"1452","PRI",1997,0.00230881256478218,0.00307275745225424,-0.000763944887472058
"1453","PRI",1998,0.00391399509195859,0.00307275745225424,0.000841237639704357
"1454","PRI",1999,0.00356447572509448,0.00307275745225424,0.000491718272840242
"1455","PRI",2000,0.00236548294196837,0.00307275745225424,-0.000707274510285869
"1456","PRI",2001,0.00253977719694376,0.00307275745225424,-0.000532980255310476
"1457","PRI",2002,0.00238026947772596,0.00307275745225424,-0.000692487974528275
"1458","PRI",2003,0.00320498338745286,0.00307275745225424,0.000132225935198625
"1459","PRI",2004,0.00306542204149688,0.00307275745225424,-7.33541075735285e-06
"1460","PRI",2005,0.00423918055700293,0.00307275745225424,0.0011664231047487
"1461","PRI",2006,0.0031136859227748,0.00307275745225424,4.09284705205613e-05
"1462","PRI",2007,0.00325905949769852,0.00307275745225424,0.000186302045444285
"1463","PRI",2008,0.00347910470251615,0.00307275745225424,0.000406347250261913
"1464","PRI",2009,0.00278402286736915,0.00307275745225424,-0.000288734584885081
"1465","PRI",2010,0.00386428837858451,0.00307275745225424,0.000791530926330274
"1466","PRI",2011,0.00407810529577546,0.00307275745225424,0.00100534784352122
"1467","PRI",2012,0.003057284183645,0.00307275745225424,-1.54732686092353e-05
"1468","PRI",2013,0.0033168532778897,0.00307275745225424,0.000244095825635466
"1469","PRI",2014,0.00250171627461289,0.00307275745225424,-0.000571041177641342
"1470","PRI",2015,0.00227766755657891,0.00307275745225424,-0.000795089895675321
"1471","PRI",2016,0.00371425691021917,0.00307275745225424,0.000641499457964932
"1472","PRI",2017,0.0040507055236958,0.00307275745225424,0.000977948071441561
"1473","PRI",2018,0.00266334877718085,0.00307275745225424,-0.000409408675073387
"1474","PRI",2019,0.00255536902113818,0.00307275745225424,-0.000517388431116059
"1475","PRI",2020,0.00303306450950913,0.00307275745225424,-3.96929427451042e-05
"1476","PRI",2021,0.00246872204782752,0.00307275745225424,-0.000604035404426718
"1477","PRI",2022,0.00353512681128147,0.00307275745225424,0.000462369359027232
"1478","PRI",2023,0.0028561422805069,0.00307275745225424,-0.000216615171747334
"1479","PRI",2024,0.00378976193799948,0.00307275745225424,0.000717004485745242
"1480","PRY",1989,0.005308326256151,0.00378536689677276,0.00152295935937824
"1481","PRY",1990,0.00426171153473357,0.00378536689677276,0.000476344637960817
"1482","PRY",1991,0.00448945702131217,0.00378536689677276,0.00070409012453941
"1483","PRY",1992,0.00410150763733933,0.00378536689677276,0.000316140740566577
"1484","PRY",1993,0.00407348920513565,0.00378536689677276,0.000288122308362896
"1485","PRY",1994,0.00422729809846108,0.00378536689677276,0.000441931201688324
"1486","PRY",1995,0.00402738270349801,0.00378536689677276,0.000242015806725249
"1487","PRY",1996,0.00451592906514027,0.00378536689677276,0.000730562168367517
"1488","PRY",1997,0.00497216750712444,0.00378536689677276,0.00118680061035169
"1489","PRY",1998,0.00448025367222726,0.00378536689677276,0.000694886775454506
"1490","PRY",1999,0.00325993339599033,0.00378536689677276,-0.000525433500782432
"1491","PRY",2000,0.00421670619592381,0.00378536689677276,0.000431339299151053
"1492","PRY",2001,0.00366838869134275,0.00378536689677276,-0.000116978205430011
"1493","PRY",2002,0.00325405209635695,0.00378536689677276,-0.000531314800415809
"1494","PRY",2003,0.00339921313570812,0.00378536689677276,-0.000386153761064634
"1495","PRY",2004,0.00341196853939133,0.00378536689677276,-0.000373398357381424
"1496","PRY",2005,0.00331713182580036,0.00378536689677276,-0.000468235070972393
"1497","PRY",2006,0.00377816149072411,0.00378536689677276,-7.20540604864581e-06
"1498","PRY",2007,0.00354760234768037,0.00378536689677276,-0.00023776454909239
"1499","PRY",2008,0.00318974481100061,0.00378536689677276,-0.000595622085772144
"1500","PRY",2009,0.00374771295658623,0.00378536689677276,-3.76539401865253e-05
"1501","PRY",2010,0.00361457021790557,0.00378536689677276,-0.000170796678867191
"1502","PRY",2011,0.00366450636647642,0.00378536689677276,-0.000120860530296341
"1503","PRY",2012,0.00311259227843645,0.00378536689677276,-0.00067277461833631
"1504","PRY",2013,0.0040446549586098,0.00378536689677276,0.000259288061837044
"1505","PRY",2014,0.00377650815547289,0.00378536689677276,-8.85874129987006e-06
"1506","PRY",2015,0.00461373400078931,0.00378536689677276,0.000828367104016554
"1507","PRY",2016,0.00372744275955483,0.00378536689677276,-5.79241372179241e-05
"1508","PRY",2017,0.00377538989656993,0.00378536689677276,-9.97700020282863e-06
"1509","PRY",2018,0.00398897166693738,0.00378536689677276,0.000203604770164627
"1510","PRY",2019,0.00268448153898741,0.00378536689677276,-0.00110088535778535
"1511","PRY",2020,0.00288005466669953,0.00378536689677276,-0.000905312230073226
"1512","PRY",2021,0.00256252498365939,0.00378536689677276,-0.00122284191311337
"1513","PRY",2022,0.00303353314423778,0.00378536689677276,-0.000751833752534973
"1514","PRY",2023,0.00284836535380843,0.00378536689677276,-0.00093700154296433
"1515","PRY",2024,0.00254373778201019,0.00378536689677276,-0.00124162911476257
"1516","PYF",1989,0.003995622935084,0.00384961962198657,0.00014600331309743
"1517","PYF",1990,0.00283287299680524,0.00384961962198657,-0.00101674662518134
"1518","PYF",1991,0.00399561324350846,0.00384961962198657,0.000145993621521888
"1519","PYF",1992,0.00357746034084509,0.00384961962198657,-0.000272159281141487
"1520","PYF",1993,0.00303361039065445,0.00384961962198657,-0.00081600923133212
"1521","PYF",1994,0.00376268280281996,0.00384961962198657,-8.69368191666175e-05
"1522","PYF",1995,0.00343053899511384,0.00384961962198657,-0.00041908062687273
"1523","PYF",1996,0.00385453672303508,0.00384961962198657,4.91710104850215e-06
"1524","PYF",1997,0.00540902728486496,0.00384961962198657,0.00155940766287838
"1525","PYF",1998,0.00376056219101883,0.00384961962198657,-8.90574309677403e-05
"1526","PYF",1999,0.00328788873836553,0.00384961962198657,-0.000561730883621042
"1527","PYF",2000,0.00383732508635148,0.00384961962198657,-1.22945356350909e-05
"1528","PYF",2001,0.00365974324328514,0.00384961962198657,-0.000189876378701431
"1529","PYF",2002,0.00355999954626895,0.00384961962198657,-0.00028962007571762
"1530","PYF",2003,0.00369655989925377,0.00384961962198657,-0.000153059722732804
"1531","PYF",2004,0.00386601941621241,0.00384961962198657,1.63997942258399e-05
"1532","PYF",2005,0.00420929890242405,0.00384961962198657,0.000359679280437477
"1533","PYF",2006,0.004010166216176,0.00384961962198657,0.000160546594189428
"1534","PYF",2007,0.00403090708035355,0.00384961962198657,0.000181287458366973
"1535","PYF",2008,0.0032982193515636,0.00384961962198657,-0.000551400270422972
"1536","PYF",2009,0.00453590897571606,0.00384961962198657,0.000686289353729484
"1537","PYF",2010,0.00286980649495187,0.00384961962198657,-0.000979813127034706
"1538","PYF",2011,0.00346569499621789,0.00384961962198657,-0.000383924625768689
"1539","PYF",2012,0.00428005347688061,0.00384961962198657,0.00043043385489404
"1540","PYF",2013,0.00387327027662347,0.00384961962198657,2.36506546368925e-05
"1541","PYF",2014,0.00365003184803451,0.00384961962198657,-0.000199587773952064
"1542","PYF",2015,0.00491161317525742,0.00384961962198657,0.00106199355327084
"1543","PYF",2016,0.0045839300340352,0.00384961962198657,0.000734310412048621
"1544","PYF",2017,0.00410721524773786,0.00384961962198657,0.00025759562575129
"1545","PYF",2018,0.00381393106848312,0.00384961962198657,-3.56885535034556e-05
"1546","PYF",2019,0.00403911105240695,0.00384961962198657,0.000189491430420377
"1547","PYF",2020,0.0030778625611371,0.00384961962198657,-0.00077175706084947
"1548","PYF",2021,0.00338330388573619,0.00384961962198657,-0.000466315736250383
"1549","PYF",2022,0.00394353904994205,0.00384961962198657,9.39194279554714e-05
"1550","PYF",2023,0.00483738791081123,0.00384961962198657,0.000987768288824656
"1551","PYF",2024,0.00318933460706224,0.00384961962198657,-0.000660285014924334
"1552","SAU",1990,0.000110520184326409,0.000175959068453343,-6.54388841269338e-05
"1553","SAU",1991,0.000163505220674172,0.000175959068453343,-1.24538477791702e-05
"1554","SAU",1992,0.000246610893782417,0.000175959068453343,7.06518253290748e-05
"1555","SAU",1993,0.000242812536650187,0.000175959068453343,6.68534681968443e-05
"1556","SAU",1994,0.000139506990156709,0.000175959068453343,-3.64520782966338e-05
"1557","SAU",1995,0.000295327256405168,0.000175959068453343,0.000119368187951826
"1558","SAU",1996,0.000242003496926676,0.000175959068453343,6.6044428473333e-05
"1559","SAU",1997,0.000306645506573962,0.000175959068453343,0.00013068643812062
"1560","SAU",1998,0.000194539522908599,0.000175959068453343,1.85804544552563e-05
"1561","SAU",1999,0.000145383766872934,0.000175959068453343,-3.05753015804082e-05
"1562","SAU",2000,0.000140713452727444,0.000175959068453343,-3.52456157258985e-05
"1563","SAU",2001,0.000134939340190006,0.000175959068453343,-4.10197282633362e-05
"1564","SAU",2002,0.000182213502284867,0.000175959068453343,6.25443383152439e-06
"1565","SAU",2003,0.000156075953403464,0.000175959068453343,-1.9883115049879e-05
"1566","SAU",2004,0.000188648303719674,0.000175959068453343,1.26892352663314e-05
"1567","SAU",2005,0.000185625957556113,0.000175959068453343,9.66688910276995e-06
"1568","SAU",2006,0.000196687388362686,0.000175959068453343,2.07283199093429e-05
"1569","SAU",2007,0.000107695483166026,0.000175959068453343,-6.82635852873167e-05
"1570","SAU",2008,0.000139552020376262,0.000175959068453343,-3.64070480770806e-05
"1571","SAU",2009,0.000135886249987986,0.000175959068453343,-4.00728184653569e-05
"1572","SAU",2010,0.000110067408816879,0.000175959068453343,-6.58916596364634e-05
"1573","SAU",2011,0.000127714027939874,0.000175959068453343,-4.8245040513469e-05
"1574","SAU",2012,0.000105970003422347,0.000175959068453343,-6.99890650309953e-05
"1575","SAU",2013,0.000209523891821088,0.000175959068453343,3.35648233677451e-05
"1576","SAU",2014,0.000129948287470446,0.000175959068453343,-4.60107809828969e-05
"1577","SAU",2015,0.000167575704381306,0.000175959068453343,-8.38336407203618e-06
"1578","SAU",2016,0.000174141342692261,0.000175959068453343,-1.81772576108113e-06
"1579","SAU",2017,0.000134293363089455,0.000175959068453343,-4.16657053638877e-05
"1580","SAU",2018,0.000249687119018442,0.000175959068453343,7.37280505650991e-05
"1581","SAU",2019,0.00018775667808768,0.000175959068453343,1.17976096343379e-05
"1582","SAU",2020,0.000137721384135148,0.000175959068453343,-3.82376843181949e-05
"1583","SAU",2021,9.70636235706479e-05,0.000175959068453343,-7.88954448826947e-05
"1584","SAU",2022,0.000140214093638254,0.000175959068453343,-3.57449748150884e-05
"1585","SAU",2023,0.000248671718281912,0.000175959068453343,7.27126498285694e-05
"1586","SAU",2024,0.000183736270552496,0.000175959068453343,7.77720209915362e-06
"1587","SGP",1990,0.00599649485472279,0.00684123612008989,-0.000844741265367095
"1588","SGP",1991,0.00797065855779996,0.00684123612008989,0.00112942243771007
"1589","SGP",1992,0.00719531683716923,0.00684123612008989,0.000354080717079342
"1590","SGP",1993,0.00740109793453788,0.00684123612008989,0.000559861814447989
"1591","SGP",1994,0.00610378741597136,0.00684123612008989,-0.00073744870411853
"1592","SGP",1995,0.00836171663831919,0.00684123612008989,0.00152048051822931
"1593","SGP",1996,0.00694426645835241,0.00684123612008989,0.000103030338262518
"1594","SGP",1997,0.00530216656625271,0.00684123612008989,-0.00153906955383718
"1595","SGP",1998,0.00720839192702745,0.00684123612008989,0.000367155806937565
"1596","SGP",1999,0.00672700089247276,0.00684123612008989,-0.000114235227617125
"1597","SGP",2000,0.00677672905536989,0.00684123612008989,-6.45070647199942e-05
"1598","SGP",2001,0.00742305407766253,0.00684123612008989,0.000581817957572639
"1599","SGP",2002,0.00582056257796163,0.00684123612008989,-0.00102067354212825
"1600","SGP",2003,0.0065022554481402,0.00684123612008989,-0.000338980671949684
"1601","SGP",2004,0.00597687689393448,0.00684123612008989,-0.000864359226155405
"1602","SGP",2005,0.0057363753245833,0.00684123612008989,-0.00110486079550659
"1603","SGP",2006,0.00688577864396696,0.00684123612008989,4.45425238770744e-05
"1604","SGP",2007,0.00820354705986877,0.00684123612008989,0.00136231093977889
"1605","SGP",2008,0.00723976094741374,0.00684123612008989,0.000398524827323854
"1606","SGP",2009,0.00578143866732717,0.00684123612008989,-0.00105979745276272
"1607","SGP",2010,0.0069352340263625,0.00684123612008989,9.39979062726101e-05
"1608","SGP",2011,0.00707371534857278,0.00684123612008989,0.000232479228482892
"1609","SGP",2012,0.00706100704458853,0.00684123612008989,0.000219770924498638
"1610","SGP",2013,0.00714282157908504,0.00684123612008989,0.000301585458995154
"1611","SGP",2014,0.00639565006713383,0.00684123612008989,-0.000445586052956059
"1612","SGP",2015,0.00561883209350829,0.00684123612008989,-0.0012224040265816
"1613","SGP",2016,0.00697609330139433,0.00684123612008989,0.000134857181304445
"1614","SGP",2017,0.00760349736083299,0.00684123612008989,0.000762261240743101
"1615","SGP",2018,0.00725624087499455,0.00684123612008989,0.000415004754904658
"1616","SGP",2019,0.00600630328214417,0.00684123612008989,-0.000834932837945719
"1617","SGP",2020,0.00760690669994801,0.00684123612008989,0.000765670579858125
"1618","SGP",2021,0.00749453147485231,0.00684123612008989,0.000653295354762425
"1619","SGP",2022,0.00742933425741891,0.00684123612008989,0.000588098137329023
"1620","SGP",2023,0.00795397973464181,0.00684123612008989,0.00111274361455192
"1621","SGP",2024,0.00825088696243862,0.00684123612008989,0.00140965084234873
"1622","SLV",1990,0.00366526453399274,0.00430023789890078,-0.000634973364908041
"1623","SLV",1991,0.00327950503378815,0.00430023789890078,-0.00102073286511263
"1624","SLV",1992,0.00383692645179205,0.00430023789890078,-0.000463311447108733
"1625","SLV",1993,0.00464627472047141,0.00430023789890078,0.000346036821570629
"1626","SLV",1994,0.00307842157781124,0.00430023789890078,-0.00122181632108954
"1627","SLV",1995,0.00589930187743448,0.00430023789890078,0.0015990639785337
"1628","SLV",1996,0.00507354608028739,0.00430023789890078,0.000773308181386609
"1629","SLV",1997,0.00360053069258962,0.00430023789890078,-0.000699707206311157
"1630","SLV",1998,0.00522142252217842,0.00430023789890078,0.000921184623277643
"1631","SLV",1999,0.00530333686522984,0.00430023789890078,0.00100309896632906
"1632","SLV",2000,0.0036483736187923,0.00430023789890078,-0.000651864280108485
"1633","SLV",2001,0.0031406824464284,0.00430023789890078,-0.00115955545247238
"1634","SLV",2002,0.00361654150522857,0.00430023789890078,-0.000683696393672208
"1635","SLV",2003,0.00398553308392972,0.00430023789890078,-0.000314704814971062
"1636","SLV",2004,0.00391100772261173,0.00430023789890078,-0.000389230176289048
"1637","SLV",2005,0.00559693898124654,0.00430023789890078,0.00129670108234576
"1638","SLV",2006,0.00424917583344116,0.00430023789890078,-5.10620654596197e-05
"1639","SLV",2007,0.00455813541460278,0.00430023789890078,0.000257897515701997
"1640","SLV",2008,0.00566427884526396,0.00430023789890078,0.00136404094636317
"1641","SLV",2009,0.00352672183241035,0.00430023789890078,-0.000773516066490427
"1642","SLV",2010,0.00629806108584792,0.00430023789890078,0.00199782318694714
"1643","SLV",2011,0.00510762907106255,0.00430023789890078,0.000807391172161766
"1644","SLV",2012,0.00342709829358986,0.00430023789890078,-0.000873139605310926
"1645","SLV",2013,0.00379375345316172,0.00430023789890078,-0.000506484445739059
"1646","SLV",2014,0.00374821772705521,0.00430023789890078,-0.000552020171845571
"1647","SLV",2015,0.00355725685434057,0.00430023789890078,-0.000742981044560211
"1648","SLV",2016,0.00346664581699467,0.00430023789890078,-0.000833592081906115
"1649","SLV",2017,0.00455543764352721,0.00430023789890078,0.000255199744626428
