year,country,iso_a0,region,cases,RISc,risc_intensity,access_to_electricity_percent_of_population,forest_area_percent_of_land_area,gini_index,individuals_using_the_internet_percent_of_population,life_expectancy_at_birth_total_years,people_using_safely_managed_drinking_water_services_percent_of_population,gdp_per_capita_ppp_constant_2021_international,population_ages_0_14_percent_of_total_population,poverty_headcount_ratio_at_2_15_a_day_2017_ppp_percent_of_population,fixed_broadband_subscriptions_per_100_people,average_precipitation_in_depth_mm_per_year,international_tourism_number_of_arrivals,international_tourism_number_of_departures,multidimensional_poverty_headcount_ratio_world_bank_percent_of_population,urban_population_percent_of_total_population,population_total,land_area_sqkm,temp_anomaly,precip_anomaly,conflict_intensity,type_of_conflict,previous_risc
1998,Costa Rica,CRI,Central America,2628,-0.59871454,low,NA,56.1546416,45.7,2.666378698,76.896,NA,13505.79989,32.19524462,5.2,NA,2926,1167000,330000,NA,57.264,3782838,51060,0.201365349,-3.12E-06,0,NA,1.602017343
1999,Costa Rica,CRI,Central America,6041,-0.156210682,expected,NA,56.05636506,47.7,3.904323257,77.138,NA,13786.39836,31.54406205,6.8,NA,2926,1267000,353000,NA,58.157,3862101,51060,-0.901294035,0.001470256,0,NA,-0.59871454
2000,Costa Rica,CRI,Central America,4908,-0.663652495,low,96.94,55.95808852,47.4,5.800253023,77.586,76.40623538,14039.91279,30.87316082,6.9,NA,2926,1278000,381000,NA,59.052,3937739,51060,-0.632153315,-6.95E-06,0,NA,-0.156210682
2001,Costa Rica,CRI,Central America,9464,-0.231215491,expected,98.24978,55.98546808,51.5,9.559482135,77.545,76.75395869,14264.68938,30.18990445,5.1,NA,2926,1320000,361000,NA,60.41,4008947,51060,-0.37278267,-8.55E-05,0,NA,-0.663652495
2002,Costa Rica,CRI,Central America,12251,-0.131837181,expected,98.509188,56.01284763,51.8,19.89485113,77.983,77.08671436,14503.75666,29.49400176,4.7,0.220551,2926,1335000,364000,NA,61.753,4075705,51060,0.083788909,-0.000591692,0,NA,-0.231215491
2003,Costa Rica,CRI,Central America,19703,0.237608305,expected,98.695902,56.04022718,49.3,20.33361481,78.072,77.40466267,14891.55463,28.79268674,4.7,0.359478,2926,1514000,373000,NA,63.08,4138784,51060,0.066713052,0.000278925,0,NA,-0.131837181
2004,Costa Rica,CRI,Central America,9408,-0.571030641,low,98.954779,56.06760674,48.4,20.79230671,78.331,77.70784952,15315.73431,28.10493417,4.7,0.665011,2926,1771000,425000,NA,64.388,4200078,51060,0.046808439,0.000723696,0,NA,0.237608305
2005,Costa Rica,CRI,Central America,37798,0.769909832,high,99.053051,56.09498629,47.5,22.07,78.505,77.99627923,15692.01111,27.43744218,3.3,1.05401,2926,1959000,487000,NA,65.672,4261240,51060,0.12583784,0.000206932,0,NA,-0.571030641
2006,Costa Rica,CRI,Central America,12052,-0.407569077,expected,99.147523,56.12236584,49.3,25.1,78.514,78.27047621,16602.12238,26.80399797,3.3,1.92827,2926,2071000,485000,NA,66.935,4321340,51060,0.045607445,-0.000772179,0,NA,0.769909832
2007,Costa Rica,CRI,Central America,26504,0.356200238,expected,99.217998,56.1497454,49.3,28.4,78.462,78.53062087,17715.75212,26.21929095,1.8,2.16883,2926,2302000,577000,NA,68.174,4380248,51060,0.030271567,0.001121749,0,NA,-0.407569077
2008,Costa Rica,CRI,Central America,8212,-0.833418614,low,99.263937,56.17712495,48.6,32.29,78.445,78.77711895,18300.01963,25.68744543,2.4,2.47607,2926,2409000,528000,NA,69.39,4440056,51060,-0.20450493,0.001731039,0,NA,0.356200238
2009,Costa Rica,CRI,Central America,7214,-0.978897458,low,99.409804,56.2045045,50.6,34.33,78.672,79.01002406,17896.85974,25.18929177,2.5,4.05917,2926,2309000,579000,NA,70.575,4499791,51060,0.150648154,-5.69E-05,0,NA,-0.833418614
2010,Costa Rica,CRI,Central America,31484,0.477181357,expected,98.995734,56.23188406,48,36.5,78.67,79.23003996,18614.99609,24.70553582,1.5,8.69766,2926,2495000,662000,2,71.736,4555962,51060,0.239519633,0.004186571,0,NA,-0.978897458
2011,Costa Rica,CRI,Central America,13838,-0.354943237,expected,99.232348,56.55240893,48.8,39.212196,79.348,79.437388,19195.1373,24.24166277,1.8,9.10623,2926,2526000,717000,2.1,72.868,4609833,51060,-0.093337181,0.000852201,0,NA,0.477181357
2012,Costa Rica,CRI,Central America,22243,0.122542656,expected,99.503298,56.8729338,48.4,47.5,79.283,79.63195153,19891.50089,23.7995513,1.7,9.61836,2926,2542000,773000,2,73.946,4663934,51060,-0.002379062,-0.000845903,0,NA,-0.354943237
2013,Costa Rica,CRI,Central America,81942,1.451280666,high,99.563517,57.19345868,49.2,45.96,79.403,79.8145511,20153.97179,23.37928242,1.6,10.2813,2926,2641000,790000,1.9,74.97,4716147,51060,0.147917149,-0.000623458,0,NA,0.122542656
2014,Costa Rica,CRI,Central America,16742,-0.080924987,expected,99.359291,57.51398355,48.6,53,78.774,79.98602628,20640.60233,22.97905048,1.5,10.8312,2926,2760000,798000,1.8,75.941,4767119,51060,0.265608984,-0.000345834,0,NA,1.451280666
2015,Costa Rica,CRI,Central America,25852,0.437202858,expected,99.409804,57.83450842,48.4,59.76295014,79.086,80.14721556,21171.7219,22.58800484,1.6,11.5951,2926,2899000,919000,1.9,76.862,4818038,51060,0.510446586,-0.001233644,0,NA,-0.080924987
2016,Costa Rica,CRI,Central America,30700,0.716091884,high,99.5,58.15511163,48.7,65.88044919,79.459,80.29888117,21838.95155,22.20845243,1.3,13.131,2926,3204000,1036000,1.7,77.735,4866998,51060,0.504646338,0.000108675,0,NA,0.437202858
2017,Costa Rica,CRI,Central America,8340,-0.466634847,expected,99.6,58.47571485,48.3,71.58166462,79.377,80.4417707,22525.40789,21.8679047,1.2,15.1438,2926,3231000,1150000,1.4,78.56,4913177,51060,0.22793551,0.000421112,0,NA,0.716091884
2018,Costa Rica,CRI,Central America,4530,-0.962824182,low,99.7,58.79612221,48,73.47972844,79.484,80.52559036,22899.62436,21.56045132,1.5,16.8377,2926,3313000,1079000,1.7,79.34,4957818,51060,0.05684602,-0.00082917,0,NA,-0.466634847
2019,Costa Rica,CRI,Central America,9472,-0.128910933,expected,99.71,59.11672542,48.2,81.20259644,79.427,80.52068401,23251.20013,21.24464171,1.1,18.0963,2926,3366000,1153000,1.2,80.076,4999553,51060,0.428160387,-0.001336641,0,NA,-0.962824182
2020,Costa Rica,CRI,Central America,10056,0.007599566,expected,99.9,59.43732863,49.2,80.53018608,79.277,80.51604657,22090.01158,20.90045002,2.3,19.7191,2926,1146500,324000,2.3,80.771,5034320,51060,0.396253464,0.000711764,0,NA,-0.128910933
2021,Costa Rica,CRI,Central America,5174,-0.607689158,low,100,59.75793184,48.7,82.74901607,NA,80.51168811,23700.29613,20.54845432,1.2,20.9243,2926,NA,NA,1.3,81.425,5059988,51060,-0.050050539,-0.000376015,0,NA,0.007599566
2022,Costa Rica,CRI,Central America,7485,-0.218430844,expected,NA,NA,47.2,82.59801121,NA,80.50757849,24650.48901,20.18948126,0.9,21.7576,NA,NA,NA,1,82.042,5081765,51060,-0.150029304,0.000925128,0,NA,-0.607689158
2023,Costa Rica,CRI,Central America,31565,1.227319834,high,NA,NA,NA,NA,NA,NA,25754.78636,19.78597027,0.9,22.5231,NA,NA,NA,0.9,82.622,5105525,NA,0.676384327,-0.001324701,0,NA,-0.218430844
1990,Cayman Islands,CYM,Caribbean,0,0.758553828,high,NA,NA,NA,NA,NA,NA,NA,22.43780617,NA,NA,NA,NA,NA,NA,100,25999,240,-0.131872951,-7.67E-05,0,NA,NA
1991,Cayman Islands,CYM,Caribbean,0,0.167622949,expected,NA,NA,NA,NA,NA,NA,NA,21.95278067,NA,NA,NA,NA,NA,NA,100,27294,240,-0.128117222,-0.000638251,0,NA,0.758553828
1992,Cayman Islands,CYM,Caribbean,0,-0.126090857,expected,NA,NA,NA,NA,NA,NA,NA,21.51587537,NA,NA,NA,NA,NA,NA,100,28621,240,-0.270788172,-0.000825536,0,NA,0.167622949
1993,Cayman Islands,CYM,Caribbean,0,-1.492326622,low,NA,NA,NA,NA,NA,NA,NA,21.15451837,NA,NA,NA,NA,NA,NA,100,29976,240,-0.247120359,-0.000127344,0,NA,-0.126090857
1994,Cayman Islands,CYM,Caribbean,0,-2.157480021,low,NA,NA,NA,NA,NA,NA,NA,20.85461924,NA,NA,NA,NA,NA,NA,100,31352,240,-0.048999129,-0.0007333,0,NA,-1.492326622
1995,Cayman Islands,CYM,Caribbean,1,2.836879546,high,NA,NA,NA,NA,NA,NA,NA,20.60697518,NA,NA,NA,1044000,NA,NA,100,32743,240,-0.067207792,0.000128366,0,NA,-2.157480021
1996,Cayman Islands,CYM,Caribbean,0,0.550386274,high,NA,NA,NA,NA,NA,NA,NA,20.38837791,NA,NA,NA,1173000,NA,NA,100,34143,240,-0.489047983,0.000805796,0,NA,2.836879546
1997,Cayman Islands,CYM,Caribbean,0,-0.291520706,expected,NA,NA,NA,NA,NA,NA,NA,20.1734169,NA,NA,NA,1248000,NA,NA,100,35543,240,0.077715577,-0.000766516,0,NA,0.550386274
1998,Cayman Islands,CYM,Caribbean,2,2.26497154,high,NA,NA,NA,NA,NA,NA,NA,19.93828915,NA,NA,NA,1275000,NA,NA,100,36922,240,0.303220293,6.88E-05,0,NA,-0.291520706
1999,Cayman Islands,CYM,Caribbean,1,1.094908955,high,NA,NA,NA,NA,NA,NA,NA,19.71667319,NA,NA,NA,1431000,NA,NA,100,38284,240,-0.318699657,0.000719886,0,NA,2.26497154
2000,Cayman Islands,CYM,Caribbean,0,-0.096649534,expected,NA,NA,NA,NA,NA,NA,NA,19.65908948,NA,NA,NA,1385000,NA,NA,100,39674,240,-0.415225961,-0.000439963,0,NA,1.094908955
2001,Cayman Islands,CYM,Caribbean,0,-0.031803706,expected,NA,NA,NA,NA,NA,NA,NA,19.67141239,NA,NA,NA,1549000,NA,NA,100,41089,240,-0.278323629,0.0001811,0,NA,-0.096649534
2002,Cayman Islands,CYM,Caribbean,1,0.711546663,high,NA,NA,NA,NA,NA,NA,NA,19.60712729,NA,NA,NA,1878000,NA,NA,100,42514,240,0.040884357,0.000518068,0,NA,-0.031803706
2003,Cayman Islands,CYM,Caribbean,1,0.277439342,expected,NA,NA,NA,NA,NA,NA,NA,19.50185238,NA,NA,NA,2113000,NA,NA,100,43934,240,0.066955905,-0.000443635,0,NA,0.711546663
2004,Cayman Islands,CYM,Caribbean,0,-0.988266845,low,NA,NA,NA,NA,NA,NA,NA,19.35234562,NA,NA,NA,1953000,NA,NA,100,45352,240,-0.091788112,-0.000466104,0,NA,0.277439342
2005,Cayman Islands,CYM,Caribbean,1,-0.438168851,expected,NA,NA,NA,NA,NA,NA,NA,19.17327427,NA,NA,NA,1967000,NA,NA,100,46788,240,-0.116950332,0.001300784,0,NA,-0.988266845
2006,Cayman Islands,CYM,Caribbean,0,-1.625028075,low,NA,NA,NA,NA,NA,NA,92275.10926,18.97482201,NA,NA,NA,2197000,NA,NA,100,48232,240,-0.065568585,-7.95E-05,0,NA,-0.438168851
2007,Cayman Islands,CYM,Caribbean,9,1.25752249,high,NA,NA,NA,NA,NA,NA,92374.83933,18.77253409,NA,NA,NA,2008000,NA,NA,100,49687,240,0.05548527,0.000563445,0,NA,-1.625028075
2008,Cayman Islands,CYM,Caribbean,1,-0.889303893,low,NA,NA,NA,NA,NA,NA,89387.21795,18.57676584,NA,34.2711,NA,1856000,NA,NA,100,51151,240,-0.099939802,0.000716437,0,NA,1.25752249
2009,Cayman Islands,CYM,Caribbean,0,-1.915580285,low,NA,NA,NA,NA,NA,NA,80618.59252,18.39491269,NA,34.7695,NA,1792000,NA,NA,100,52618,240,-0.036094485,-0.000649195,0,NA,-0.889303893
2010,Cayman Islands,CYM,Caribbean,8,0.181857031,expected,NA,NA,NA,NA,NA,NA,76294.28588,18.27420086,NA,34.8472,NA,1886000,NA,NA,100,54099,240,-0.205099403,0.000477724,0,NA,-1.915580285
2011,Cayman Islands,CYM,Caribbean,2,-1.20051572,low,NA,NA,NA,NA,NA,NA,75213.85662,18.20352483,NA,33.8381,NA,1710000,NA,NA,100,55606,240,-0.062648116,1.65E-05,0,NA,0.181857031
2012,Cayman Islands,CYM,Caribbean,53,1.222246863,high,NA,NA,NA,NA,NA,NA,74306.97131,18.08389026,NA,33.8228,NA,1829000,NA,NA,100,57136,240,-0.072625298,-9.35E-05,0,NA,-1.20051572
2013,Cayman Islands,CYM,Caribbean,69,1.167601844,high,NA,NA,NA,NA,NA,NA,73509.7113,17.89579468,NA,34.6688,NA,1721000,NA,NA,100,58655,240,0.170489491,-7.88E-06,0,NA,1.222246863
2014,Cayman Islands,CYM,Caribbean,124,1.498837118,high,NA,NA,NA,NA,NA,NA,73754.40377,17.69574963,NA,39.011,NA,1993000,NA,NA,100,60160,240,0.220870993,-0.000550427,0,NA,1.167601844
2015,Cayman Islands,CYM,Caribbean,40,0.19567212,expected,NA,NA,NA,NA,NA,NA,74160.49966,17.50422748,NA,44.4226,NA,2102000,NA,NA,100,61642,240,0.379140716,-0.000355921,0,NA,1.498837118
2016,Cayman Islands,CYM,Caribbean,150,1.440720968,high,NA,NA,NA,NA,NA,NA,74910.38415,17.3465372,NA,38.8827,NA,2097000,NA,NA,100,63100,240,0.415142239,-0.00049549,0,NA,0.19567212
2017,Cayman Islands,CYM,Caribbean,31,-0.137418595,expected,NA,NA,NA,NA,NA,NA,75683.545,17.24021327,NA,48.3954,NA,2147000,NA,NA,100,64535,240,0.173949104,0.000984366,0,NA,1.440720968
2018,Cayman Islands,CYM,Caribbean,29,-0.137114394,expected,NA,NA,NA,NA,NA,NA,77328.42939,17.15291906,NA,NA,NA,2384000,NA,NA,100,65941,240,0.104822021,-6.00E-05,0,NA,-0.137418595
2019,Cayman Islands,CYM,Caribbean,133,1.520259716,high,NA,NA,NA,NA,NA,NA,78837.51298,17.04796323,NA,75.7497,NA,2334000,NA,NA,100,67327,240,0.475769064,-0.00065863,0,NA,-0.137114394
2020,Cayman Islands,CYM,Caribbean,35,0.355763011,expected,NA,NA,NA,NA,NA,NA,73621.01816,16.88963832,NA,46.5902,NA,660000,NA,NA,100,68684,240,0.529799006,0.00090988,0,NA,1.520259716
2021,Cayman Islands,CYM,Caribbean,1,-2.40056992,low,NA,NA,NA,NA,NA,NA,76296.94068,16.78481273,NA,45.6439,NA,NA,NA,NA,100,70108,240,0.348937215,-0.000798102,0,NA,0.355763011
2022,Cayman Islands,CYM,Caribbean,2,-1.914788219,low,NA,NA,NA,NA,NA,NA,79565.44822,16.76430562,NA,56.3604,NA,NA,NA,NA,100,71591,240,0.295455477,-0.000491335,0,NA,-2.40056992
2023,Cayman Islands,CYM,Caribbean,42,1.011950393,high,NA,NA,NA,NA,NA,NA,NA,16.71692396,NA,NA,NA,NA,NA,NA,100,73038,NA,0.847642761,-0.000616111,0,NA,-1.914788219
1990,Dominica,DMA,Caribbean,6,0.811225195,high,NA,67.08,NA,0,69.852,NA,10430.99035,33.13256047,NA,NA,2083,NA,NA,NA,63.079,69627,750,-0.314123143,-0.000125848,0,NA,NA
1991,Dominica,DMA,Caribbean,12,1.527687933,high,NA,66.75466667,NA,0,69.646,NA,10623.56118,33.19737927,NA,NA,2083,NA,NA,NA,64.482,69296,750,-0.400919427,-0.000446734,0,NA,0.811225195
1992,Dominica,DMA,Caribbean,0,-1.317704481,low,NA,66.42933333,NA,0,70.282,NA,10843.70615,33.02200068,NA,NA,2083,NA,NA,NA,64.569,69325,750,-0.267826229,-0.000318764,0,NA,1.527687933
1993,Dominica,DMA,Caribbean,1,-1.047271179,low,NA,66.104,NA,0,70.937,NA,11068.95444,32.76250922,NA,NA,2083,NA,NA,NA,64.656,69433,750,-0.244796107,-0.000381939,0,NA,-1.317704481
1994,Dominica,DMA,Caribbean,0,-2.497911639,low,NA,65.77866667,NA,0,71.076,NA,11068.13072,32.5007045,NA,NA,2083,NA,NA,NA,64.744,69477,750,-0.467451562,-0.000563721,0,NA,-1.047271179
1995,Dominica,DMA,Caribbean,282,4.881728679,high,NA,65.45333333,NA,0.548762737,71.52,NA,11403.09619,32.20618199,NA,NA,2083,203000,NA,NA,64.831,69469,750,-0.018142372,-3.73E-06,0,NA,-2.497911639
1996,Dominica,DMA,Caribbean,3,0.404397806,expected,NA,65.128,NA,1.165518146,71.194,NA,11763.02078,31.878872,NA,NA,2083,261000,NA,NA,64.918,69410,750,-0.327042728,0.000149818,0,NA,4.881728679
1997,Dominica,DMA,Caribbean,0,-1.30178573,low,NA,64.80266667,NA,NA,71.634,NA,12034.90665,31.51155889,NA,NA,2083,299000,NA,NA,65.005,69299,750,-0.084070672,-0.000542649,0,NA,0.404397806
1998,Dominica,DMA,Caribbean,1,-0.317799014,expected,75,64.47733333,NA,2.925345191,71.472,NA,12515.03788,31.0771998,NA,NA,2083,312000,NA,NA,65.092,69124,750,0.369435162,0.000477232,0,NA,-1.30178573
1999,Dominica,DMA,Caribbean,1,-0.541256515,low,79.62191772,64.152,NA,2.932164377,70.631,NA,12603.22774,30.57825976,NA,NA,2083,280000,NA,NA,65.179,68870,750,-0.105637063,-0.000225473,0,NA,-0.317799014
2000,Dominica,DMA,Caribbean,15,1.665646239,high,81.05433655,63.82666667,NA,8.814844198,72.693,NA,12964.5999,30.00687677,NA,0.11677,2083,312000,NA,NA,65.265,68511,750,-0.389670997,-0.000514594,0,NA,-0.541256515
2001,Dominica,DMA,Caribbean,5,0.465589595,expected,82.05014038,63.82666667,NA,13.24522804,71.713,NA,12993.01323,29.38703643,NA,0.256268,2083,276000,NA,NA,65.382,68288,750,-0.163492192,-0.000665489,0,NA,1.665646239
2002,Dominica,DMA,Caribbean,0,-1.519734825,low,87.7,63.82666667,NA,18.42489277,72.34,NA,12605.41059,28.77662536,NA,3.27351,2083,208000,NA,NA,65.689,68367,750,-0.018056541,-0.000519777,0,NA,0.465589595
2003,Dominica,DMA,Caribbean,0,-1.772004682,low,84.02310944,63.82666667,NA,23.62041985,71.438,NA,13370.99165,28.18570333,NA,3.86832,2083,254000,NA,NA,65.994,68531,750,0.08203587,-0.000181405,0,NA,-1.519734825
2004,Dominica,DMA,Caribbean,4,-0.52185639,low,85.01429749,63.82666667,NA,30.31961309,72.401,NA,13752.37581,27.59646513,NA,4.7386,2083,466000,NA,NA,66.299,68649,750,-0.012496461,0.000806081,0,NA,-1.772004682
2005,Dominica,DMA,Caribbean,7,-0.356591079,expected,86.01795197,63.82666667,NA,38.54364326,72.254,NA,13822.41552,26.98493597,NA,4.94661,2083,381000,NA,NA,66.601,68734,750,0.419089964,0.001208919,0,NA,-0.52185639
2006,Dominica,DMA,Caribbean,19,0.313780657,expected,87.04086304,63.82666667,NA,39.3981743,72.848,NA,14452.15451,26.32888191,NA,6.24945,2083,465000,NA,NA,66.903,68806,750,0.152931701,5.61E-05,0,NA,-0.356591079
2007,Dominica,DMA,Caribbean,110,1.779048645,high,88.08461761,63.82666667,NA,40.27446301,71.93,NA,15362.92084,25.61105053,NA,7.26248,2083,437000,NA,NA,67.203,68847,750,0.124445767,-0.000199433,0,NA,0.313780657
2008,Dominica,DMA,Caribbean,80,1.184792206,high,90.9,63.82666667,NA,41.16,73.305,NA,16455.2485,24.88441743,NA,10.1664,2083,468000,NA,NA,67.502,68854,750,-0.236884107,0.000303974,0,NA,1.779048645
2009,Dominica,DMA,Caribbean,2,-2.355343162,low,90.21995544,63.82666667,NA,42.02,72.17,NA,16261.60735,24.21114608,NA,10.6006,2083,608000,NA,NA,67.799,68864,750,0.011417082,-0.000451862,0,NA,1.184792206
2010,Dominica,DMA,Caribbean,633,2.799554371,high,91.30387115,63.82666667,NA,47.45,71.55,NA,16378.60791,23.5997382,NA,12.0696,2083,595000,NA,NA,68.094,68859,750,0.620924007,0.000718996,0,NA,-2.355343162
2011,Dominica,DMA,Caribbean,40,-0.140839242,expected,90.1,63.82666667,NA,48.6,69.695,NA,16345.0839,23.09286899,NA,12.0299,2083,418000,NA,NA,68.389,69053,750,0.084039699,0.001784672,0,NA,2.799554371
2012,Dominica,DMA,Caribbean,3,-2.616750057,low,93.48497772,63.82666667,NA,49.8,70.538,NA,16137.71479,22.70407978,NA,12.2978,2083,348000,NA,NA,68.685,69118,750,0.116903792,0.000275993,0,NA,-0.140839242
2013,Dominica,DMA,Caribbean,197,1.08765788,high,94.57449341,63.82666667,NA,51,68.896,NA,15992.36559,22.25491692,NA,15.3009,2083,311000,NA,NA,68.982,69715,750,-0.040044615,0.000292682,0,NA,-2.616750057
2014,Dominica,DMA,Caribbean,189,0.902869791,high,95.65898132,63.82666667,NA,57.5,69.434,NA,16619.30441,22.03370284,NA,15.3255,2083,370000,NA,NA,69.28,70373,750,-0.102529197,-0.000363447,0,NA,1.08765788
2015,Dominica,DMA,Caribbean,38,-0.796096917,low,96.73849487,63.82666667,NA,65,68.727,NA,16018.48855,21.74940898,NA,21.5296,2083,358000,NA,NA,69.579,70410,750,0.122629653,-0.000706783,0,NA,0.902869791
2016,Dominica,DMA,Caribbean,351,1.356070524,high,97.81385803,63.82666667,NA,67.03,70.128,NA,16445.20944,21.22297538,NA,22.2495,2083,356000,NA,NA,69.88,69606,750,0.31894065,0.000320223,0,NA,-0.796096917
2017,Dominica,DMA,Caribbean,33,-1.028814629,low,98.88589478,63.82666667,NA,69.61966879,67.525,NA,15285.15669,20.89541639,NA,22.5166,2083,230000,NA,NA,70.181,68496,750,0.187349171,0.000191572,0,NA,1.356070524
2018,Dominica,DMA,Caribbean,45,-0.746481865,low,99.56813049,63.82666667,NA,NA,73.59,NA,15733.5496,20.62268347,NA,16.8891,2083,199000,NA,NA,70.483,68174,750,-0.146885861,-0.000255854,0,NA,-1.028814629
2019,Dominica,DMA,Caribbean,1066,2.415824869,high,99.9192276,63.82666667,NA,73.38194848,73.559,NA,16458.68849,20.38206306,NA,22.3998,2083,322000,NA,NA,70.786,67880,750,0.143977812,-0.000198715,0,NA,-0.746481865
2020,Dominica,DMA,Caribbean,88,-0.058037435,expected,99.99721527,63.82666667,NA,77.0650479,73.649,NA,13617.77109,20.12514845,NA,27.0611,2083,140000,NA,NA,71.09,67573,750,0.271825801,-4.59E-05,0,NA,2.415824869
2021,Dominica,DMA,Caribbean,65,-0.3518292,expected,100,63.82666667,NA,80.93300506,NA,NA,14472.28586,19.86259278,NA,20.9562,2083,NA,NA,NA,71.395,67202,750,0.118273428,-0.000697204,0,NA,-0.058037435
2022,Dominica,DMA,Caribbean,3,-3.087512041,low,NA,NA,NA,NA,NA,NA,15212.07769,19.6294896,NA,20.8601,NA,NA,NA,NA,71.7,66826,750,-0.009986549,-6.36E-05,0,NA,-0.3518292
2023,Dominica,DMA,Caribbean,419,1.497366001,high,NA,NA,NA,NA,NA,NA,15862.82736,19.38937568,NA,NA,NA,NA,NA,NA,72.006,66510,NA,0.517347029,1.47E-05,0,NA,-3.087512041
1990,Dominican Republic,DOM,Caribbean,39,1.425677575,high,NA,33.01366177,NA,0,67.11,NA,7305.906698,38.85056734,NA,NA,1410,NA,NA,NA,55.226,7151166,48310,-0.213313071,0.00033543,0,NA,NA
1991,Dominican Republic,DOM,Caribbean,24,0.527060749,high,78.2,33.79523908,NA,0,67.625,NA,7223.506182,38.54456651,NA,NA,1410,NA,NA,NA,55.497,7299853,48310,-0.263729223,-0.000523674,0,NA,1.425677575
1992,Dominican Republic,DOM,Caribbean,107,1.59617379,high,82.48540497,34.57681639,51.4,0,68.084,NA,7872.946777,38.24009672,7.6,NA,1410,NA,NA,NA,55.767,7447474,48310,-0.409274069,0.0004327,0,NA,0.527060749
1993,Dominican Republic,DOM,Caribbean,0,-3.487202042,low,83.25549316,35.35839371,NA,0,68.472,NA,8286.805987,37.93660146,NA,NA,1410,NA,NA,NA,56.037,7594572,48310,-0.357965279,0.000465564,0,NA,1.59617379
1994,Dominican Republic,DOM,Caribbean,0,-4.039282124,low,84.02422333,36.13997102,NA,0,68.792,NA,8339.532114,37.59116145,NA,NA,1410,NA,NA,NA,56.752,7741694,48310,-0.241934586,-0.00051709,0,NA,-3.487202042
1995,Dominican Republic,DOM,Caribbean,211,0.800432559,high,84.79090881,36.92154833,NA,0.017233601,68.988,NA,8650.361548,37.19818144,NA,NA,1410,1806000,168000,NA,57.598,7888115,48310,-0.133411217,-0.000289375,0,NA,-4.039282124
1996,Dominican Republic,DOM,Caribbean,72,-0.826595498,low,85.55487823,37.70312565,47.4,0.074987053,69.097,NA,9004.350734,36.79758037,6.5,NA,1410,2037000,358000,NA,58.441,8032894,48310,-0.637231636,0.00029758,0,NA,0.800432559
1997,Dominican Republic,DOM,Caribbean,512,0.558370595,high,86.31544495,38.48470296,48.9,0.142687565,69.166,NA,9638.686035,36.38278342,6.9,NA,1410,2482000,355000,NA,59.276,8174078,48310,0.261236699,-0.00078934,0,NA,-0.826595498
1998,Dominican Republic,DOM,Caribbean,2873,1.744367636,high,87.07193756,39.26628027,NA,0.233914189,69.096,NA,10121.87576,35.93256948,NA,NA,1410,2702000,354000,NA,60.107,8310362,48310,0.166687044,0.000496279,0,NA,0.558370595
1999,Dominican Republic,DOM,Caribbean,1059,0.252005266,expected,91,40.04785759,NA,1.104743874,69.279,NA,10558.35019,35.47012652,NA,NA,1410,2932000,363000,NA,60.933,8446208,48310,-0.573432255,0.000258931,0,NA,1.744367636
2000,Dominican Republic,DOM,Caribbean,3404,0.97338093,high,88.764932,40.8294349,51.5,3.704692356,69.423,41.95907183,10883.10839,35.03533016,6.7,NA,1410,3161000,360000,NA,61.753,8584190,48310,-0.374617863,-0.000580298,0,NA,0.252005266
2001,Dominican Republic,DOM,Caribbean,3588,0.635061808,high,89.791362,41.03777686,50,4.429390697,69.642,42.08168014,10985.81658,34.61220242,5.1,NA,1410,3090000,331000,NA,62.565,8720283,48310,-0.14751606,-0.000367827,0,NA,0.97338093
2002,Dominican Republic,DOM,Caribbean,3118,0.15970556,expected,89.749814,41.24611882,49.7,6.823725733,69.923,42.20253376,11315.10164,34.21114209,7.6,NA,1410,3058000,332000,NA,63.371,8852235,48310,-0.001375008,-0.000563827,0,NA,0.635061808
2003,Dominican Republic,DOM,Caribbean,5911,0.518034826,high,89.173808,41.45446077,52.1,7.898392937,70.265,42.37858908,11006.71279,33.81974275,8.7,0.167026,1410,3680000,321000,NA,64.605,8980620,48310,-0.032696533,6.30E-05,0,NA,0.15970556
2004,Dominican Republic,DOM,Caribbean,2340,-0.64255202,low,90.316567,41.66280273,52.1,8.865553461,70.331,42.5745983,11135.70139,33.39042457,11.6,0.409198,1410,3907000,368000,NA,66.003,9104892,48310,-0.259833781,6.78E-05,0,NA,0.518034826
2005,Dominican Republic,DOM,Caribbean,2776,-0.665844984,low,90.141224,41.87114469,50,11.48319778,70.875,42.76491723,12023.86616,32.92938239,7.4,0.65771,1410,3981000,419000,NA,67.37,9225034,48310,0.059480858,0.000837775,0,NA,-0.64255202
2006,Dominican Republic,DOM,Caribbean,5913,-0.060165058,expected,90.118148,42.07948665,52,14.84492837,71.165,42.95011735,12958.15751,32.44506131,6.3,1.10136,1410,4268000,420000,NA,68.71,9341183,48310,0.077819538,-4.87E-05,0,NA,-0.665844984
2007,Dominican Republic,DOM,Caribbean,9403,0.300335439,expected,96.876342,42.28782861,48.9,17.66,71.371,43.12986327,13744.38348,31.95288425,6.1,1.83755,1410,4365000,443000,NA,70.02,9455658,48310,0.109467379,0.000722262,0,NA,-0.060165058
2008,Dominican Republic,DOM,Caribbean,4150,-0.577458213,low,97.576197,42.49617057,48.1,20.82,71.658,43.3042056,14005.65116,31.48286284,5.4,2.4978,1410,4455000,413000,NA,71.3,9573130,48310,-0.233536371,0.000144711,0,NA,0.300335439
